time_s,voltage_V
6.227466404500001e-08,-269.130725356
6.247951491300000e-08,-271.533552768
6.268436578200000e-08,-274.060460424
6.288921665000001e-08,-276.700358552
6.309406751900000e-08,-279.440805647
6.329891838700001e-08,-282.268060238
6.350376925600001e-08,-285.167142630
6.370862012500000e-08,-288.121906324
6.391347099300000e-08,-291.115118713
6.411832186200001e-08,-294.128550633
6.432317272999999e-08,-297.143074224
6.452802359899999e-08,-300.138768534
6.473287446700000e-08,-303.095032229
6.493772533600000e-08,-305.990702698
6.514257620500000e-08,-308.804180821
6.534742707300001e-08,-311.513560595
6.555227794200001e-08,-314.096762795
6.575712881000000e-08,-316.531671789
6.596197967900000e-08,-318.796274617
6.616683054700001e-08,-320.868801413
6.637168141600001e-08,-322.727866228
6.657653228399999e-08,-324.352607314
6.678138315299999e-08,-325.722825915
6.698623402200000e-08,-326.819122609
6.719108489000000e-08,-327.623030291
6.739593575900000e-08,-328.117142841
6.760078662700001e-08,-328.285238617
6.780563749600001e-08,-328.112397875
6.801048836400000e-08,-327.585113310
6.821533923300000e-08,-326.691392910
6.842019010200001e-08,-325.420854403
6.862504097000001e-08,-323.764810584
6.882989183900001e-08,-321.716344918
6.903474270700002e-08,-319.270376832
6.923959357600000e-08,-316.423716210
6.944444444400000e-08,-313.175106655
6.964929531300000e-08,-309.525257162
6.985414618200000e-08,-305.476861929
7.005899705000001e-08,-301.034608105
7.026384791900000e-08,-296.205171354
7.046869878700000e-08,-290.997199194
7.067354965600001e-08,-285.421282170
7.087840052400001e-08,-279.489912974
7.108325139300001e-08,-273.217433723
7.128810226200000e-08,-266.619971691
7.149295313000001e-08,-259.715363856
7.169780399900000e-08,-252.523070704
7.190265486700000e-08,-245.064079812
7.210750573599999e-08,-237.360799789
7.231235660400000e-08,-229.436945235
7.251720747300000e-08,-221.317413424
7.272205834200000e-08,-213.028153479
7.292690921000001e-08,-204.596028878
7.313176007900001e-08,-196.048674128
7.333661094700001e-08,-187.414346544
7.354146181600000e-08,-178.721774052
7.374631268400001e-08,-170.000000000
